x	        y1	        y2	        y3	        y4	        y5	        y6
0	       0	        0	        0	        0	        0	        0
3	       9.4	        13.2	    4.3	        7.1	        3.5	        32.0
4	       33.9	        58.9	    4.5	        8.7	        4.9	        39.9
5	       149.1	    1800	    6.4	        11.6	    5.7	        181.6
10         1800	        1800	    11.3	    19	        12.7	    1486.3            
50         1800	        1800	    130.4	    263	        122.5	    1800
100	       1800	        1800	    408.0	    755.6	    383.3	    1800 
200	       1800         1800	    1621	    1800	    1800	    1800 
